Player,Squad,Comp,Pos,primary_pos,Age,nineties,market_value_in_eur,market_value_eur_M,valuation_date,pos_group,perf_score,value_score
Solly March,Brighton,Premier League,FWDF,FW,28,20.1,22000000.0,22.0,2023-06-20,FW,1.8027562189054727,0.0819434644957033
Martinelli,Arsenal,Premier League,FW,FW,21,19.2,,,,FW,2.0455833333333335,
Lautaro Martínez,Inter,Serie A,FW,FW,25,18.6,85000000.0,85.0,2023-06-15,FW,1.9811612903225806,0.023307779886148006
Borja Mayoral,Getafe,La Liga,FW,FW,25,18.0,9000000.0,9.0,2023-06-13,FW,0.8222222222222222,0.09135802469135802
Kylian Mbappé,Paris S-G,Ligue 1,FW,FW,24,16.3,180000000.0,180.0,2023-06-27,FW,2.395546012269939,0.013308588957055216
Bryan Mbeumo,Brentford,Premier League,FW,FW,23,18.4,35000000.0,35.0,2023-06-20,FW,1.3367391304347824,0.03819254658385093
Dwight McNeil,Everton,Premier League,FWDF,FW,23,10.9,20000000.0,20.0,2023-06-20,FW,1.64948623853211,0.08247431192660551
Arkadiusz Milik,Juventus,Serie A,FW,FW,28,11.0,8000000.0,8.0,2023-06-15,FW,1.3164545454545455,0.1645568181818182
Pere Milla,Elche,La Liga,FWMF,FW,30,13.4,3000000.0,3.0,2023-06-13,FW,1.2997611940298508,0.4332537313432836
Kaoru Mitoma,Brighton,Premier League,FWDF,FW,25,10.3,32000000.0,32.0,2023-06-20,FW,1.9824368932038836,0.06195115291262136
Aleksandar Mitrovi?,Fulham,Premier League,FW,FW,28,18.1,,,,FW,1.7967348066298343,
Terem Moffi,Lorient,Ligue 1,FW,FW,23,15.4,20000000.0,20.0,2023-06-27,FW,1.416220779220779,0.07081103896103895
Mostafa Mohamed,Nantes,Ligue 1,FW,FW,25,13.4,6000000.0,6.0,2023-06-27,FW,1.2101343283582089,0.20168905472636814
Kieffer Moore,Bournemouth,Premier League,FW,FW,30,12.4,4000000.0,4.0,2023-06-20,FW,0.7895806451612902,0.19739516129032256
Álvaro Morata,Atlético Madrid,La Liga,FW,FW,30,12.9,20000000.0,20.0,2023-06-13,FW,1.5166356589147287,0.07583178294573643
Gerard Moreno,Villarreal,La Liga,FW,FW,30,10.2,20000000.0,20.0,2023-06-13,FW,1.7471960784313725,0.08735980392156863
Dany Mota,Monza,Serie A,FWMF,FW,24,11.1,6000000.0,6.0,2023-06-15,FW,1.1702702702702703,0.19504504504504505
Youssoufa Moukoko,Dortmund,Bundesliga,FW,FW,18,10.5,30000000.0,30.0,2023-06-22,FW,1.6444285714285714,0.05481428571428571
Vedat Muriqi,Mallorca,La Liga,FW,FW,28,18.4,15000000.0,15.0,2023-06-13,FW,0.9987826086956522,0.06658550724637681
M'Baye Niang,Auxerre,Ligue 1,FW,FW,28,11.5,2500000.0,2.5,2023-06-27,FW,0.5998695652173913,0.23994782608695653
Florian Niederlechner,Augsburg,Bundesliga,FWMF,FW,32,10.1,800000.0,0.8,2023-06-22,FW,1.0430396039603962,1.3037995049504951
Christopher Nkunku,RB Leipzig,Bundesliga,FWMF,FW,25,14.2,80000000.0,80.0,2023-06-22,FW,2.2890704225352114,0.028613380281690144
Arnaud Nordin,Montpellier,Ligue 1,FWMF,FW,24,12.4,7000000.0,7.0,2023-06-27,FW,0.9415806451612903,0.13451152073732717
Darwin Núñez,Liverpool,Premier League,FW,FW,23,11.0,65000000.0,65.0,2023-06-20,FW,1.6335454545454544,0.02513146853146853
M'Bala Nzola,Spezia,Serie A,FW,FW,26,17.7,8000000.0,8.0,2023-06-15,FW,1.1234745762711864,0.1404343220338983
David Okereke,Cremonese,Serie A,FWMF,FW,25,16.0,4000000.0,4.0,2023-06-15,FW,1.3175000000000001,0.32937500000000003
Karim Onisiwo,Mainz 05,Bundesliga,FWMF,FW,30,19.3,3500000.0,3.5,2023-06-22,FW,1.6655077720207254,0.475859363434493
Loïs Openda,Lens,Ligue 1,FW,FW,22,15.1,35000000.0,35.0,2023-06-27,FW,1.367026490066225,0.03905789971617786
Riccardo Orsolini,Bologna,Serie A,FW,FW,26,12.8,12000000.0,12.0,2023-06-15,FW,1.860625,0.15505208333333334
Victor Osimhen,Napoli,Serie A,FW,FW,24,15.6,120000000.0,120.0,2023-06-15,FW,2.1166410256410257,0.017638675213675216
Dango Ouattara,Lorient,Ligue 1,FWMF,FW,21,17.2,25000000.0,25.0,2023-06-20,FW,2.1718372093023257,0.08687348837209302
Isaac Palazón Camacho,Rayo Vallecano,La Liga,FWMF,FW,28,16.7,,,,FW,1.8024011976047902,
Pedro,Lazio,Serie A,FW,FW,35,12.4,,,,FW,1.3919354838709677,
Pedro,Lazio,Serie A,FW,FW,35,12.4,1500000.0,1.5,2023-06-15,FW,1.3919354838709677,0.9279569892473117
Pedro,Lazio,Serie A,FW,FW,35,12.4,22000000.0,22.0,2023-04-07,FW,1.3919354838709677,0.06326979472140762
Pedro,Lazio,Serie A,FW,FW,35,12.4,2000000.0,2.0,2023-04-07,FW,1.3919354838709677,0.6959677419354838
Jordan Pefok,Union Berlin,Bundesliga,FW,FW,26,10.9,,,,FW,1.4439724770642202,
Nicolas Pépé,Nice,Ligue 1,FWMF,FW,27,13.6,18000000.0,18.0,2023-06-27,FW,1.564176470588235,0.0868986928104575
Krzysztof Pi?tek,Salernitana,Serie A,FW,FW,27,12.8,,,,FW,1.089375,
Andrea Pinamonti,Sassuolo,Serie A,FW,FW,23,14.5,15000000.0,15.0,2023-06-15,FW,1.020896551724138,0.06805977011494253
Óscar Plano,Valladolid,La Liga,FWMF,FW,32,14.2,3000000.0,3.0,2023-06-13,FW,1.0324225352112677,0.3441408450704226
Gonzalo Plata,Valladolid,La Liga,FWMF,FW,22,10.2,5000000.0,5.0,2023-06-13,FW,1.424,0.2848
Alassane Pléa,M'Gladbach,Bundesliga,FW,FW,29,11.6,8000000.0,8.0,2023-06-22,FW,2.417413793103448,0.302176724137931
Daniel Podence,Wolves,Premier League,FWMF,FW,27,14.6,20000000.0,20.0,2023-06-20,FW,1.5224657534246577,0.07612328767123289
Javi Puado,Espanyol,La Liga,FWMF,FW,24,12.8,8000000.0,8.0,2023-06-13,FW,1.0383749999999998,0.12979687499999998
Largie Ramazani,Almería,La Liga,FWMF,FW,21,11.5,6000000.0,6.0,2023-06-13,FW,0.9239130434782609,0.1539855072463768
Raphinha,Barcelona,La Liga,FW,FW,26,10.7,60000000.0,60.0,2023-06-13,FW,2.7628317757009344,0.04604719626168224
Marcus Rashford,Manchester Utd,Premier League,FW,FW,25,19.9,80000000.0,80.0,2023-06-20,FW,1.7007638190954775,0.021259547738693468
Rafael Ratão,Toulouse,Ligue 1,FW,FW,27,12.7,2500000.0,2.5,2023-06-27,FW,1.40396062992126,0.5615842519685039
Bobby Reid,Fulham,Premier League,FWDF,FW,30,20.2,,,,FW,0.9320198019801978,
Renaud Ripart,Troyes,Ligue 1,FWMF,FW,29,11.2,2500000.0,2.5,2023-06-27,FW,1.5848571428571427,0.6339428571428571
Rodrigo,Leeds United,Premier League,FWMF,FW,31,14.4,6000000.0,6.0,2023-06-20,FW,1.4584444444444447,0.2430740740740741
Rodrigo,Betis,La Liga,FWMF,FW,22,10.0,6000000.0,6.0,2023-06-20,FW,1.34,0.22333333333333336
Rodrygo,Real Madrid,La Liga,FW,FW,22,13.2,100000000.0,100.0,2023-06-13,FW,2.6430303030303035,0.026430303030303037
Georginio Rutter,Hoffenheim,Bundesliga,FW,FW,20,11.2,18000000.0,18.0,2023-06-20,FW,1.5015714285714286,0.08342063492063492
Bukayo Saka,Arsenal,Premier League,FW,FW,21,20.0,120000000.0,120.0,2023-06-20,FW,2.59,0.021583333333333333
Mohamed Salah,Liverpool,Premier League,FW,FW,30,19.7,65000000.0,65.0,2023-06-20,FW,1.8883299492385786,0.029051229988285823
Amine Salama,Angers,Ligue 1,FWMF,FW,22,11.1,1500000.0,1.5,2023-06-27,FW,1.0262702702702702,0.6841801801801801
Mama Samba Baldé,Troyes,Ligue 1,FW,FW,27,17.5,,,,FW,1.586285714285714,
Samuel,Valencia,La Liga,FWMF,FW,23,19.8,100000.0,0.1,2023-06-21,FW,1.325010101010101,13.250101010101009
Samuel,Valencia,La Liga,FWMF,FW,23,19.8,,,,FW,1.325010101010101,
Samuel,Valencia,La Liga,FWMF,FW,23,19.8,,,,FW,1.325010101010101,
Antonio Sanabria,Torino,Serie A,FW,FW,26,12.1,10000000.0,10.0,2023-06-15,FW,0.9215785123966942,0.09215785123966942
Alexis Sánchez,Marseille,Ligue 1,FW,FW,34,16.3,4000000.0,4.0,2023-06-27,FW,1.9281472392638037,0.48203680981595093
Martin Satriano,Empoli,Serie A,FW,FW,21,13.8,,,,FW,0.7534637681159421,
Gianluca Scamacca,West Ham,Premier League,FW,FW,24,10.3,22000000.0,22.0,2023-06-20,FW,1.04026213592233,0.0472846425419241
André Silva,RB Leipzig,Bundesliga,FW,FW,27,13.3,15000000.0,15.0,2023-06-22,FW,1.988751879699248,0.13258345864661653
André Silva,RB Leipzig,Bundesliga,FW,FW,27,13.3,2000000.0,2.0,2023-06-16,FW,1.988751879699248,0.994375939849624
André Silva,RB Leipzig,Bundesliga,FW,FW,27,13.3,,,,FW,1.988751879699248,
Abdallah Sima,Angers,Ligue 1,FW,FW,21,10.3,6000000.0,6.0,2023-06-27,FW,0.9511747572815534,0.15852912621359225
Moses Simon,Nantes,Ligue 1,FWMF,FW,27,17.4,8000000.0,8.0,2023-06-27,FW,1.3933563218390805,0.17416954022988507
Islam Slimani,Brest,Ligue 1,FW,FW,34,11.0,1500000.0,1.5,2023-06-09,FW,0.9429090909090908,0.6286060606060605
Rubén Sobrino,Cádiz,La Liga,FWMF,FW,30,13.1,2000000.0,2.0,2023-06-13,FW,0.7513358778625954,0.3756679389312977
Dominic Solanke,Bournemouth,Premier League,FWMF,FW,25,15.9,20000000.0,20.0,2023-06-20,FW,1.0696792452830188,0.05348396226415094
Roberto Soriano,Bologna,Serie A,FWMF,FW,32,11.4,2500000.0,2.5,2023-06-15,FW,1.3889999999999998,0.5555999999999999
Raheem Sterling,Chelsea,Premier League,FWMF,FW,28,12.7,55000000.0,55.0,2023-06-20,FW,1.4999606299212598,0.027272011453113813
Jørgen Strand Larsen,Celta Vigo,La Liga,FW,FW,23,11.1,11000000.0,11.0,2023-06-13,FW,1.1341801801801803,0.10310728910728911
Gabriel Strefezza,Lecce,Serie A,FWMF,FW,25,15.9,10000000.0,10.0,2023-06-15,FW,1.507251572327044,0.1507251572327044
Isaac Success,Udinese,Serie A,FW,FW,27,14.2,4000000.0,4.0,2023-06-15,FW,1.588,0.397
Alexander Sørloth,Real Sociedad,La Liga,FW,FW,27,14.2,12000000.0,12.0,2023-06-13,FW,1.4413802816901409,0.1201150234741784
Simon Terodde,Schalke 04,Bundesliga,FW,FW,34,14.2,900000.0,0.9,2023-06-22,FW,1.0292676056338028,1.1436306729264476
Martin Terrier,Rennes,Ligue 1,FWMF,FW,25,14.7,30000000.0,30.0,2023-06-27,FW,2.330244897959184,0.07767482993197279
Tetê,Lyon,Ligue 1,FWMF,FW,22,12.3,25000000.0,25.0,2023-06-20,FW,1.6648048780487803,0.0665921951219512
Tetê,Lyon,Ligue 1,FWMF,FW,22,12.3,,,,FW,1.6648048780487803,
Marcus Thuram,M'Gladbach,Bundesliga,FW,FW,25,17.9,32000000.0,32.0,2023-06-22,FW,1.691659217877095,0.05286435055865922
Steffen Tigges,Köln,Bundesliga,FW,FW,24,10.6,3500000.0,3.5,2023-06-22,FW,1.352698113207547,0.3864851752021563
Karl Toko Ekambi,Lyon,Ligue 1,FWMF,FW,30,15.0,8000000.0,8.0,2023-06-27,FW,1.4006666666666665,0.1750833333333333
Ivan Toney,Brentford,Premier League,FW,FW,26,19.9,35000000.0,35.0,2023-06-20,FW,1.6365175879396983,0.04675764536970566
Adama Traoré,Wolves,Premier League,FWMF,FW,27,10.0,250000.0,0.25,2023-04-05,FW,1.16,4.64
Adama Traoré,Wolves,Premier League,FWMF,FW,27,10.0,10000000.0,10.0,2023-06-20,FW,1.16,0.11599999999999999
Adama Traoré,Wolves,Premier League,FWMF,FW,27,10.0,3000000.0,3.0,2023-06-01,FW,1.16,0.38666666666666666
Adama Traoré,Wolves,Premier League,FWMF,FW,27,10.0,4500000.0,4.5,2023-06-07,FW,1.16,0.2577777777777778
Leandro Trossard,Brighton,Premier League,FWMF,FW,28,14.6,35000000.0,35.0,2023-06-20,FW,1.9764520547945206,0.05647005870841487
Enes Ünal,Getafe,La Liga,FW,FW,25,19.2,25000000.0,25.0,2023-06-13,FW,1.2115,0.04846
Federico Valverde,Real Madrid,La Liga,FWMF,FW,24,17.0,100000000.0,100.0,2023-06-13,FW,1.739941176470588,0.017399411764705882
Jamie Vardy,Leicester City,Premier League,FW,FW,36,13.1,2500000.0,2.5,2023-06-20,FW,1.0113358778625954,0.40453435114503816
Duan Vlahovi?,Juventus,Serie A,FW,FW,23,10.6,,,,FW,1.8767169811320756,
Ollie Watkins,Aston Villa,Premier League,FW,FW,27,18.1,40000000.0,40.0,2023-06-20,FW,1.493243093922652,0.0373310773480663
Danny Welbeck,Brighton,Premier League,FW,FW,32,12.7,7000000.0,7.0,2023-06-20,FW,1.221740157480315,0.1745343082114736
Timo Werner,RB Leipzig,Bundesliga,FWMF,FW,26,11.2,25000000.0,25.0,2023-06-22,FW,1.2084285714285714,0.048337142857142856
Iñaki Williams,Athletic Club,La Liga,FW,FW,28,16.5,25000000.0,25.0,2023-06-13,FW,1.305030303030303,0.05220121212121212
Nico Williams,Athletic Club,La Liga,FWMF,FW,20,18.2,30000000.0,30.0,2023-06-13,FW,1.7157802197802197,0.05719267399267399
Willian,Fulham,Premier League,FW,FW,34,13.4,3000000.0,3.0,2023-06-20,FW,2.0178805970149254,0.6726268656716418
Willian,Fulham,Premier League,FW,FW,34,13.4,400000.0,0.4,2023-04-07,FW,2.0178805970149254,5.044701492537313
Callum Wilson,Newcastle Utd,Premier League,FW,FW,30,12.5,16000000.0,16.0,2023-06-20,FW,1.552,0.097
Callum Wilson,Newcastle Utd,Premier League,FW,FW,30,12.5,,,,FW,1.552,
Yoane Wissa,Brentford,Premier League,FW,FW,26,10.4,18000000.0,18.0,2023-06-20,FW,1.4776153846153843,0.08208974358974358
Mattia Zaccagni,Lazio,Serie A,FWMF,FW,27,17.9,30000000.0,30.0,2023-06-15,FW,1.698927374301676,0.056630912476722535
Wilfried Zaha,Crystal Palace,Premier League,FWMF,FW,30,18.5,22000000.0,22.0,2023-06-20,FW,1.617324324324324,0.07351474201474201
Arber Zeneli,Reims,Ligue 1,FWMF,FW,27,10.0,,,,FW,1.77,
Simon Zoller,Bochum,Bundesliga,FW,FW,31,13.5,1100000.0,1.1,2023-06-22,FW,0.6602222222222223,0.6002020202020202
Brenden Aaronson,Leeds United,Premier League,MFFW,MF,22,17.7,25000000.0,25.0,2023-06-20,MF,6.506,0.26024
Salis Abdul Samed,Lens,Ligue 1,MF,MF,22,20.0,18000000.0,18.0,2023-06-27,MF,12.6,0.7
Laurent Abergel,Lorient,Ligue 1,MF,MF,30,12.9,3000000.0,3.0,2023-06-27,MF,10.364,3.4546666666666668
Tyler Adams,Leeds United,Premier League,MF,MF,23,19.0,18000000.0,18.0,2023-06-20,MF,11.868,0.6593333333333333
Álvaro Aguado,Valladolid,La Liga,MF,MF,26,12.6,3000000.0,3.0,2023-06-13,MF,13.257000000000001,4.4190000000000005
Kevin Agudelo,Spezia,Serie A,MFFW,MF,24,16.0,3000000.0,3.0,2023-06-15,MF,7.99,2.6633333333333336
Naouirou Ahamada,Stuttgart,Bundesliga,MF,MF,20,15.5,10000000.0,10.0,2023-06-20,MF,7.249,0.7249
Luis Alberto,Lazio,Serie A,MF,MF,30,11.7,18000000.0,18.0,2023-06-15,MF,16.979,0.9432777777777778
Thiago Alcántara,Liverpool,Premier League,MF,MF,31,12.8,15000000.0,15.0,2023-06-20,MF,17.617,1.1744666666666668
Rubén Alcaraz,Cádiz,La Liga,MF,MF,31,11.2,2000000.0,2.0,2023-06-13,MF,8.184,4.092
Carles Aleñá,Getafe,La Liga,MF,MF,25,16.2,9000000.0,9.0,2023-06-13,MF,7.8870000000000005,0.8763333333333334
Domingos André Ribeiro Almeida,Valencia,La Liga,MF,MF,22,13.9,,,,MF,14.643,
Sofyan Amrabat,Fiorentina,Serie A,MF,MF,26,12.9,30000000.0,30.0,2023-06-15,MF,18.677000000000003,0.6225666666666668
Benjamin André,Lille,Ligue 1,MF,MF,32,19.5,9000000.0,9.0,2023-06-27,MF,19.496,2.1662222222222223
Robert Andrich,Leverkusen,Bundesliga,MF,MF,28,15.7,11000000.0,11.0,2023-06-22,MF,9.052000000000001,0.822909090909091
Joe Aribo,Southampton,Premier League,MFFW,MF,26,12.2,11000000.0,11.0,2023-06-20,MF,5.677,0.516090909090909
Maximilian Arnold,Wolfsburg,Bundesliga,MF,MF,28,19.2,14000000.0,14.0,2023-06-22,MF,9.729,0.6949285714285713
Mathias Autret,Auxerre,Ligue 1,MFFW,MF,31,13.2,800000.0,0.8,2023-06-27,MF,11.007000000000001,13.758750000000001
Iddrisu Baba,Mallorca,La Liga,MF,MF,27,11.1,3000000.0,3.0,2023-06-13,MF,6.138000000000001,2.0460000000000003
Alex Baena,Villarreal,La Liga,MFFW,MF,21,11.5,,,,MF,8.629999999999999,
Nedim Bajrami,Empoli,Serie A,MFFW,MF,23,10.5,7500000.0,7.5,2023-06-15,MF,6.068999999999999,0.8091999999999999
Mitchel Bakker,Leverkusen,Bundesliga,MFDF,MF,22,10.8,9000000.0,9.0,2023-06-22,MF,6.231999999999999,0.6924444444444444
Filippo Bandinelli,Empoli,Serie A,MF,MF,27,16.7,3500000.0,3.5,2023-06-15,MF,7.721,2.206
Antonín Barák,Fiorentina,Serie A,MF,MF,28,11.1,10000000.0,10.0,2023-06-15,MF,8.036999999999999,0.8036999999999999
Nicolò Barella,Inter,Serie A,MF,MF,26,17.9,75000000.0,75.0,2023-06-15,MF,11.798,0.15730666666666668
Harvey Barnes,Leicester City,Premier League,MFFW,MF,25,18.8,35000000.0,35.0,2023-06-20,MF,4.375,0.125
Leandro Barreiro Martins,Mainz 05,Bundesliga,MF,MF,23,12.0,,,,MF,5.535,
Simone Bastoni,Spezia,Serie A,MFDF,MF,26,10.5,6500000.0,6.5,2023-06-15,MF,6.351999999999999,0.9772307692307691
Christoph Baumgartner,Hoffenheim,Bundesliga,MFFW,MF,23,17.8,24000000.0,24.0,2023-06-22,MF,7.763999999999999,0.32349999999999995
Cyrille Bayala,Ajaccio,Ligue 1,MF,MF,26,14.1,900000.0,0.9,2023-06-27,MF,6.9319999999999995,7.702222222222222
Haris Belkebla,Brest,Ligue 1,MF,MF,29,16.6,3000000.0,3.0,2023-06-27,MF,10.247,3.4156666666666666
Jean-Ricner Bellegarde,Strasbourg,Ligue 1,MF,MF,24,17.7,10000000.0,10.0,2023-06-27,MF,11.655999999999999,1.1656
Jude Bellingham,Dortmund,Bundesliga,MF,MF,19,18.8,120000000.0,120.0,2023-06-22,MF,17.056,0.14213333333333333
Fran Beltrán,Celta Vigo,La Liga,MF,MF,24,17.9,15000000.0,15.0,2023-06-13,MF,10.287999999999998,0.6858666666666665
Ismaël Bennacer,Milan,Serie A,MF,MF,25,15.7,40000000.0,40.0,2023-06-15,MF,14.328999999999999,0.35822499999999996
Nabil Bentaleb,Angers,Ligue 1,MF,MF,28,16.9,7000000.0,7.0,2023-06-27,MF,15.171,2.1672857142857143
Rodrigo Bentancur,Tottenham,Premier League,MF,MF,25,16.7,40000000.0,40.0,2023-06-20,MF,9.23,0.23075
Philip Billing,Bournemouth,Premier League,MFFW,MF,26,17.3,20000000.0,20.0,2023-06-20,MF,4.802,0.24009999999999998
Ludovic Blas,Nantes,Ligue 1,MFFW,MF,25,18.5,20000000.0,20.0,2023-06-27,MF,9.855,0.49275
Alexis Blin,Lecce,Serie A,MFDF,MF,26,13.9,2500000.0,2.5,2023-06-15,MF,9.064,3.6256
Giacomo Bonaventura,Fiorentina,Serie A,MF,MF,33,14.8,2500000.0,2.5,2023-06-15,MF,8.878,3.5512
Mehdi Bourabia,Spezia,Serie A,MF,MF,31,18.5,1300000.0,1.3,2023-06-15,MF,9.046,6.958461538461537
Benjamin Bourigeaud,Rennes,Ligue 1,MFFW,MF,29,18.9,18000000.0,18.0,2023-06-27,MF,15.202,0.8445555555555555
Julian Brandt,Dortmund,Bundesliga,MFFW,MF,26,16.6,40000000.0,40.0,2023-06-22,MF,8.406,0.21015
Emi Buendía,Aston Villa,Premier League,MFFW,MF,26,13.6,,,,MF,11.815999999999999,
Sergio Busquets,Barcelona,La Liga,MF,MF,34,14.5,5000000.0,5.0,2023-06-13,MF,17.326999999999998,3.4654
Rémy Cabella,Lille,Ligue 1,MFFW,MF,32,13.3,5000000.0,5.0,2023-06-27,MF,17.944,3.5888
Moisés Caicedo,Brighton,Premier League,MF,MF,21,19.2,75000000.0,75.0,2023-06-20,MF,12.788,0.17050666666666667
Hakan Çalhanoðlu,Inter,Serie A,MF,MF,29,17.0,,,,MF,13.171,
Mahdi Camara,Brest,Ligue 1,MF,MF,24,12.8,3000000.0,3.0,2023-06-27,MF,7.8,2.6
Mohamed Camara,Monaco,Ligue 1,MF,MF,23,15.4,,,,MF,12.043000000000003,
Mohamed Camara,Monaco,Ligue 1,MF,MF,23,15.4,,,,MF,12.043000000000003,
Mohamed Camara,Monaco,Ligue 1,MF,MF,23,15.4,30000000.0,30.0,2023-06-27,MF,12.043000000000003,0.4014333333333334
Eduardo Camavinga,Real Madrid,La Liga,MFDF,MF,20,10.2,85000000.0,85.0,2023-06-13,MF,17.017,0.2002
Étienne Capoue,Villarreal,La Liga,MF,MF,34,13.0,3000000.0,3.0,2023-06-13,MF,11.142,3.714
Gianluca Caprari,Monza,Serie A,MFFW,MF,29,14.7,8000000.0,8.0,2023-06-15,MF,6.01,0.75125
Maxence Caqueret,Lyon,Ligue 1,MF,MF,22,16.3,25000000.0,25.0,2023-06-27,MF,17.186999999999998,0.6874799999999999
William Carvalho,Betis,La Liga,MF,MF,30,15.0,14000000.0,14.0,2023-06-13,MF,13.533000000000001,0.9666428571428572
Casemiro,Manchester Utd,Premier League,MF,MF,30,13.7,40000000.0,40.0,2023-06-20,MF,13.912,0.3478
Danilo Cataldi,Lazio,Serie A,MF,MF,28,15.5,10000000.0,10.0,2023-06-15,MF,9.336,0.9336
Franco Cervi,Celta Vigo,La Liga,MF,MF,28,14.6,3000000.0,3.0,2023-06-13,MF,6.6129999999999995,2.204333333333333
Xavier Chavalerin,Troyes,Ligue 1,MF,MF,31,15.0,1500000.0,1.5,2023-06-27,MF,8.289,5.526
Pedro Chirivella,Nantes,Ligue 1,MF,MF,25,17.7,6000000.0,6.0,2023-06-27,MF,16.483,2.7471666666666668
Joris Chotard,Montpellier,Ligue 1,MF,MF,21,14.2,9000000.0,9.0,2023-06-27,MF,9.322000000000001,1.035777777777778
Ryan Christie,Bournemouth,Premier League,MFFW,MF,27,11.5,10000000.0,10.0,2023-06-20,MF,7.7829999999999995,0.7783
Pathé Ciss,Rayo Vallecano,La Liga,MFDF,MF,28,10.2,3000000.0,3.0,2023-06-13,MF,9.933,3.311
Santi Comesaña,Rayo Vallecano,La Liga,MF,MF,26,12.4,7500000.0,7.5,2023-06-13,MF,12.984999999999998,1.731333333333333
Lewis Cook,Bournemouth,Premier League,MF,MF,26,16.5,10000000.0,10.0,2023-06-20,MF,7.5840000000000005,0.7584000000000001
David Pereira da Costa,Lens,Ligue 1,MFFW,MF,22,13.7,,,,MF,12.692,
Samu Costa,Almería,La Liga,MF,MF,22,12.7,,,,MF,8.623000000000001,
Lassana Coulibaly,Salernitana,Serie A,MF,MF,26,17.5,5000000.0,5.0,2023-06-15,MF,7.74,1.548
Mathieu Coutadeur,Ajaccio,Ligue 1,MF,MF,36,10.9,200000.0,0.2,2023-06-27,MF,13.712,68.55999999999999
Bryan Cristante,Roma,Serie A,MF,MF,27,20.4,20000000.0,20.0,2023-06-15,MF,11.695,0.58475
Sergi Darder,Espanyol,La Liga,MF,MF,29,19.7,16000000.0,16.0,2023-06-13,MF,13.190999999999999,0.8244374999999999
Josh Dasilva,Brentford,Premier League,MF,MF,24,11.1,16000000.0,16.0,2023-06-20,MF,7.38,0.46125
Kevin De Bruyne,Manchester City,Premier League,MF,MF,31,17.8,70000000.0,70.0,2023-06-20,MF,16.034,0.22905714285714285
Brecht Dejaegere,Toulouse,Ligue 1,MF,MF,31,13.3,1800000.0,1.8,2023-06-27,MF,8.651,4.806111111111111
Kerem Demirbay,Leverkusen,Bundesliga,MF,MF,29,10.0,6000000.0,6.0,2023-06-22,MF,10.93,1.8216666666666665
Branco van den Boomen,Toulouse,Ligue 1,MF,MF,27,21.4,12000000.0,12.0,2023-06-27,MF,19.962999999999997,1.6635833333333332
Kiernan Dewsbury-Hall,Leicester City,Premier League,MF,MF,24,17.1,25000000.0,25.0,2023-06-20,MF,11.829,0.47316
Krépin Diatta,Monaco,Ligue 1,MFFW,MF,23,14.9,15000000.0,15.0,2023-06-27,MF,7.691000000000001,0.5127333333333334
Brahim Díaz,Milan,Serie A,MF,MF,23,11.5,20000000.0,20.0,2023-06-15,MF,12.18,0.609
Nicolás Domínguez,Bologna,Serie A,MF,MF,24,14.8,17000000.0,17.0,2023-06-15,MF,11.264,0.6625882352941176
Cheick Doucouré,Crystal Palace,Premier League,MF,MF,23,18.3,35000000.0,35.0,2023-06-20,MF,10.282000000000002,0.2937714285714286
Paulo Dybala,Roma,Serie A,MFFW,MF,29,13.1,30000000.0,30.0,2023-06-15,MF,8.633000000000001,0.28776666666666667
Éderson,Atalanta,Serie A,MFFW,MF,23,12.0,20000000.0,20.0,2023-06-15,MF,7.011,0.35055000000000003
Maximilian Eggestein,Freiburg,Bundesliga,MF,MF,26,15.5,10000000.0,10.0,2023-06-22,MF,8.172,0.8172
Harvey Elliott,Liverpool,Premier League,MFFW,MF,19,12.6,35000000.0,35.0,2023-06-20,MF,12.578999999999999,0.35939999999999994
Mohamed Elyounoussi,Southampton,Premier League,MFFW,MF,28,15.6,9000000.0,9.0,2023-06-20,MF,4.473999999999999,0.49711111111111106
Wataru Endo,Stuttgart,Bundesliga,MF,MF,30,18.5,6500000.0,6.5,2023-06-22,MF,9.896999999999998,1.5226153846153845
Christian Eriksen,Manchester Utd,Premier League,MF,MF,30,16.5,22000000.0,22.0,2023-06-20,MF,13.242999999999999,0.6019545454545454
Edu Expósito,Espanyol,La Liga,MF,MF,26,10.3,4000000.0,4.0,2023-06-13,MF,9.467,2.36675
Eberechi Eze,Crystal Palace,Premier League,MFFW,MF,24,17.2,40000000.0,40.0,2023-06-20,MF,8.371,0.20927500000000002
Fabinho,Liverpool,Premier League,MF,MF,29,13.9,,,,MF,11.155000000000001,
Fabinho,Liverpool,Premier League,MF,MF,29,13.9,42000000.0,42.0,2023-06-20,MF,11.155000000000001,0.2655952380952381
Fabinho,Liverpool,Premier League,MF,MF,29,13.9,600000.0,0.6,2023-06-28,MF,11.155000000000001,18.59166666666667
Fabinho,Liverpool,Premier League,MF,MF,29,13.9,,,,MF,11.155000000000001,
Fabinho,Liverpool,Premier League,MF,MF,29,13.9,300000.0,0.3,2022-08-05,MF,11.155000000000001,37.18333333333334
Fabinho,Liverpool,Premier League,MF,MF,29,13.9,200000.0,0.2,2023-06-09,MF,11.155000000000001,55.775000000000006
Fabinho,Liverpool,Premier League,MF,MF,29,13.9,,,,MF,11.155000000000001,
Fabinho,Liverpool,Premier League,MF,MF,29,13.9,,,,MF,11.155000000000001,
Lewis Ferguson,Bologna,Serie A,MF,MF,23,11.2,12000000.0,12.0,2023-06-15,MF,5.834,0.48616666666666664
