Player,Squad,Comp,Pos,primary_pos,Age,nineties,market_value_in_eur,market_value_eur_M,valuation_date,pos_group,perf_score,value_score
Emanuele Valeri,Cremonese,Serie A,DFFW,DF,24,16.6,3500000.0,3.5,2023-06-15,DF,5.0,1.4285714285714286
Yan Valery,Angers,Ligue 1,DF,DF,23,12.1,2000000.0,2.0,2023-06-27,DF,9.08,4.54
Martin Valjent,Mallorca,La Liga,DF,DF,27,17.8,4500000.0,4.5,2023-06-13,DF,8.32,1.848888888888889
Virgil van Dijk,Liverpool,Premier League,DF,DF,31,16.5,35000000.0,35.0,2023-06-20,DF,9.58,0.27371428571428574
Vanderson,Monaco,Ligue 1,DF,DF,21,14.4,,,,DF,10.28,
Vanderson,Monaco,Ligue 1,DF,DF,21,14.4,20000000.0,20.0,2023-06-27,DF,10.28,0.514
Raphaël Varane,Manchester Utd,Premier League,DF,DF,29,14.4,35000000.0,35.0,2023-06-20,DF,9.66,0.276
Milo Veljkovi?,Werder Bremen,Bundesliga,DF,DF,27,13.9,,,,DF,10.930000000000001,
Joël Veltman,Brighton,Premier League,DF,DF,31,15.3,10000000.0,10.0,2023-06-20,DF,8.7,0.8699999999999999
Mickey van de Ven,Wolfsburg,Bundesliga,DF,DF,21,20.0,,,,DF,8.1,
Daniel Vivian,Athletic Club,La Liga,DF,DF,23,14.1,,,,DF,9.93,
Kevin Vogt,Hoffenheim,Bundesliga,DF,DF,31,13.7,2500000.0,2.5,2023-06-22,DF,6.94,2.7760000000000002
Mërgim Vojvoda,Torino,Serie A,DF,DF,28,11.0,4000000.0,4.0,2023-06-15,DF,4.739999999999999,1.1849999999999998
Stefan de Vrij,Inter,Serie A,DF,DF,31,12.1,8000000.0,8.0,2023-06-15,DF,10.34,1.2925
Kyle Walker-Peters,Southampton,Premier League,DF,DF,25,15.6,25000000.0,25.0,2023-06-20,DF,6.72,0.2688
Joel Ward,Crystal Palace,Premier League,DF,DF,33,14.4,1200000.0,1.2,2023-06-20,DF,9.44,7.866666666666666
Adam Webster,Brighton,Premier League,DF,DF,28,13.9,25000000.0,25.0,2023-06-20,DF,8.69,0.34759999999999996
Mitchell Weiser,Werder Bremen,Bundesliga,DFFW,DF,28,18.2,6000000.0,6.0,2023-06-22,DF,8.24,1.3733333333333333
Ben White,Arsenal,Premier League,DF,DF,25,18.7,55000000.0,55.0,2023-06-20,DF,7.85,0.14272727272727273
Silvan Widmer,Mainz 05,Bundesliga,DF,DF,29,13.0,3500000.0,3.5,2023-06-22,DF,6.47,1.8485714285714285
Mateusz Wieteska,Clermont Foot,Ligue 1,DF,DF,26,23.0,3000000.0,3.0,2023-06-27,DF,8.92,2.973333333333333
Neco Williams,Nott'ham Forest,Premier League,DF,DF,21,13.5,20000000.0,20.0,2023-06-20,DF,10.23,0.5115000000000001
Axel Witsel,Atlético Madrid,La Liga,DFMF,DF,34,13.9,5000000.0,5.0,2023-06-13,DF,7.55,1.51
Joe Worrall,Nott'ham Forest,Premier League,DF,DF,26,13.9,12000000.0,12.0,2023-06-20,DF,10.72,0.8933333333333334
Maya Yoshida,Schalke 04,Bundesliga,DF,DF,34,19.9,900000.0,0.9,2023-06-22,DF,11.96,13.28888888888889
Ashley Young,Aston Villa,Premier League,DF,DF,37,13.2,600000.0,0.6,2023-06-20,DF,8.56,14.266666666666667
Mohamed Youssouf,Ajaccio,Ligue 1,DF,DF,34,17.4,200000.0,0.2,2023-06-27,DF,10.339999999999998,51.69999999999999
Nicola Zalewski,Roma,Serie A,DF,DF,21,12.6,20000000.0,20.0,2023-06-15,DF,5.4,0.27
Jordan Zemura,Bournemouth,Premier League,DF,DF,23,13.5,6000000.0,6.0,2023-06-20,DF,7.550000000000001,1.2583333333333335
Oleksandr Zinchenko,Arsenal,Premier League,DF,DF,26,12.0,42000000.0,42.0,2023-06-20,DF,7.08,0.16857142857142857
Kurt Zouma,West Ham,Premier League,DF,DF,28,14.2,22000000.0,22.0,2023-06-20,DF,9.72,0.44181818181818183
Igor Zubeldia,Real Sociedad,La Liga,DF,DF,25,14.0,15000000.0,15.0,2023-06-13,DF,9.29,0.6193333333333333
