Player,Squad,Comp,Pos,primary_pos,Age,nineties,Fls,CrdY,CrdR,fouls_per90,card_rate_per90
Gianluca Caprari,Monza,Serie A,MFFW,MF,29,14.7,1.63,0.27,0.0,1.63,0.27
Gideon Mensah,Auxerre,Ligue 1,DF,DF,24,12.9,1.63,0.39,0.0,1.63,0.39
Helibelton Palacios,Elche,La Liga,DF,DF,29,12.9,1.63,0.31,0.0,1.63,0.31
Nélson Semedo,Wolves,Premier League,DF,DF,29,14.1,1.63,0.35,0.07,1.63,0.49
Martín Zubimendi,Real Sociedad,La Liga,MF,MF,24,17.8,1.63,0.34,0.0,1.63,0.34
Lameck Banda,Lecce,Serie A,FWMF,FW,22,11.7,1.62,0.26,0.0,1.62,0.26
Emi Buendía,Aston Villa,Premier League,MFFW,MF,26,13.6,1.62,0.0,0.0,1.62,0.0
Thierry Correia,Valencia,La Liga,DF,DF,23,15.4,1.62,0.19,0.0,1.62,0.19
Jean-Kevin Duverne,Brest,Ligue 1,DF,DF,25,15.4,1.62,0.06,0.0,1.62,0.06
Valentin Rongier,Marseille,Ligue 1,MF,MF,28,19.7,1.62,0.25,0.0,1.62,0.25
Jackson Porozo,Troyes,Ligue 1,DF,DF,22,13.7,1.61,0.22,0.0,1.61,0.22
Rodri,Manchester City,Premier League,MF,MF,26,19.3,1.61,0.16,0.0,1.61,0.16
Kerem Demirbay,Leverkusen,Bundesliga,MF,MF,29,10.0,1.6,0.2,0.0,1.6,0.2
Philipp Hofmann,Bochum,Bundesliga,FW,FW,29,16.2,1.6,0.06,0.0,1.6,0.06
Manuel Locatelli,Juventus,Serie A,MF,MF,25,15.6,1.6,0.26,0.0,1.6,0.26
Nuno Mendes,Paris S-G,Ligue 1,DFMF,DF,20,10.0,1.6,0.2,0.0,1.6,0.2
Aleksandar Mitrovi?,Fulham,Premier League,FW,FW,28,18.1,1.6,0.28,0.0,1.6,0.28
Ethan Ampadu,Spezia,Serie A,DFMF,DF,22,15.1,1.59,0.33,0.0,1.59,0.33
Ismaël Doukouré,Strasbourg,Ligue 1,DF,DF,19,11.3,1.59,0.27,0.0,1.59,0.27
Solly March,Brighton,Premier League,FWDF,FW,28,20.1,1.59,0.1,0.0,1.59,0.1
Stijn Spierings,Toulouse,Ligue 1,MF,MF,26,22.0,1.59,0.09,0.0,1.59,0.09
Boubacar Kamara,Aston Villa,Premier League,MF,MF,23,13.3,1.58,0.23,0.0,1.58,0.23
Silas Katompa,Stuttgart,Bundesliga,FWDF,FW,24,13.3,1.58,0.15,0.0,1.58,0.15
Johann Lepenant,Lyon,Ligue 1,MF,MF,20,13.3,1.58,0.08,0.0,1.58,0.08
Mathias Pereira Lage,Brest,Ligue 1,MFFW,MF,26,12.0,1.58,0.17,0.0,1.58,0.17
Issiaga Sylla,Toulouse,Ligue 1,DF,DF,29,15.2,1.58,0.2,0.0,1.58,0.2
Domenico Berardi,Sassuolo,Serie A,FW,FW,28,10.2,1.57,0.39,0.0,1.57,0.39
Thijs Dallinga,Toulouse,Ligue 1,FW,FW,22,13.4,1.57,0.3,0.0,1.57,0.3
Youssouf Fofana,Monaco,Ligue 1,MF,MF,24,20.4,1.57,0.1,0.05,1.57,0.2
Joan Gonzàlez,Lecce,Serie A,MF,MF,21,17.8,1.57,0.28,0.0,1.57,0.28
Andrew Gravillon,Reims,Ligue 1,DF,DF,25,11.5,1.57,0.26,0.0,1.57,0.26
Douglas Luiz,Aston Villa,Premier League,MF,MF,24,15.9,1.57,0.13,0.06,1.57,0.25
Antonio Sanabria,Torino,Serie A,FW,FW,26,12.1,1.57,0.25,0.0,1.57,0.25
Yan Valery,Angers,Ligue 1,DF,DF,23,12.1,1.57,0.08,0.0,1.57,0.08
Zakaria Aboukhlal,Toulouse,Ligue 1,FWMF,FW,22,16.7,1.56,0.18,0.0,1.56,0.18
Nuno da Costa,Auxerre,Ligue 1,FWMF,FW,32,12.8,1.56,0.31,0.08,1.56,0.47
Krzysztof Pi?tek,Salernitana,Serie A,FW,FW,27,12.8,1.56,0.23,0.0,1.56,0.23
Enes Ünal,Getafe,La Liga,FW,FW,25,19.2,1.56,0.21,0.0,1.56,0.21
Valentín Castellanos,Girona,La Liga,FW,FW,24,16.8,1.55,0.36,0.0,1.55,0.36
Zeki Çelik,Roma,Serie A,DF,DF,25,11.0,1.55,0.45,0.0,1.55,0.45
Robert Lewandowski,Barcelona,La Liga,FW,FW,34,14.8,1.55,0.14,0.07,1.55,0.28
Gianluca Scamacca,West Ham,Premier League,FW,FW,24,10.3,1.55,0.29,0.0,1.55,0.29
Nabil Bentaleb,Angers,Ligue 1,MF,MF,28,16.9,1.54,0.06,0.0,1.54,0.06
Mohamed Elyounoussi,Southampton,Premier League,MFFW,MF,28,15.6,1.54,0.19,0.0,1.54,0.19
Andrei Girotto,Nantes,Ligue 1,DFMF,DF,30,20.8,1.54,0.14,0.0,1.54,0.14
Joan Jordán,Sevilla,La Liga,MF,MF,28,13.0,1.54,0.38,0.0,1.54,0.38
Lee Kangin,Mallorca,La Liga,MFFW,MF,21,16.9,1.54,0.36,0.0,1.54,0.36
Diogo Leite,Union Berlin,Bundesliga,DF,DF,24,16.2,1.54,0.12,0.06,1.54,0.24
Adrien Thomasson,Strasbourg,Ligue 1,MF,MF,29,10.4,1.54,0.19,0.0,1.54,0.19
Koray Günter,Hellas Verona,Serie A,DF,DF,28,11.1,1.53,0.27,0.0,1.53,0.27
Bobby Reid,Fulham,Premier League,FWDF,FW,30,20.2,1.53,0.35,0.0,1.53,0.35
Alexis Sánchez,Marseille,Ligue 1,FW,FW,34,16.3,1.53,0.12,0.0,1.53,0.12
Aurélien Tchouaméni,Real Madrid,La Liga,MF,MF,23,11.8,1.53,0.08,0.0,1.53,0.08
Iyenoma Udogie,Udinese,Serie A,DF,DF,20,16.3,1.53,0.25,0.0,1.53,0.25
Vanderson,Monaco,Ligue 1,DF,DF,21,14.4,1.53,0.14,0.07,1.53,0.28
Javi Galán,Celta Vigo,La Liga,DF,DF,28,19.1,1.52,0.1,0.0,1.52,0.1
Georginio Rutter,Hoffenheim,Bundesliga,FW,FW,20,11.2,1.52,0.18,0.0,1.52,0.18
Tomá Sou?ek,West Ham,Premier League,MF,MF,27,18.4,1.52,0.05,0.0,1.52,0.05
Mattias Svanberg,Wolfsburg,Bundesliga,MF,MF,24,11.2,1.52,0.27,0.0,1.52,0.27
Mikel Vesga,Athletic Club,La Liga,MF,MF,29,16.5,1.52,0.18,0.0,1.52,0.18
Igor,Fiorentina,Serie A,DF,DF,25,12.6,1.51,0.56,0.08,1.51,0.72
Neymar,Paris S-G,Ligue 1,MFFW,MF,31,16.6,1.51,0.36,0.06,1.51,0.48
Daniel Podence,Wolves,Premier League,FWMF,FW,27,14.6,1.51,0.27,0.0,1.51,0.27
Óscar de Marcos,Athletic Club,La Liga,DF,DF,33,18.0,1.5,0.17,0.0,1.5,0.17
Rafael Ratão,Toulouse,Ligue 1,FW,FW,27,12.7,1.5,0.08,0.0,1.5,0.08
Alex Sandro,Juventus,Serie A,DF,DF,32,12.7,1.5,0.24,0.08,1.5,0.4
Filip ?uri?i?,Sampdoria,Serie A,MFFW,MF,31,14.7,1.5,0.41,0.0,1.5,0.41
Kevin Akpoguma,Hoffenheim,Bundesliga,DF,DF,27,11.4,1.49,0.53,0.0,1.49,0.53
César Azpilicueta,Chelsea,Premier League,DF,DF,33,11.4,1.49,0.26,0.0,1.49,0.26
Carlos,Monza,Serie A,DF,DF,24,19.5,1.49,0.1,0.0,1.49,0.1
Aritz Elustondo,Real Sociedad,La Liga,DF,DF,28,11.4,1.49,0.35,0.09,1.49,0.53
Mario Paali?,Atalanta,Serie A,MFFW,MF,28,11.4,1.49,0.18,0.0,1.49,0.18
Roberto Soriano,Bologna,Serie A,FWMF,FW,32,11.4,1.49,0.09,0.0,1.49,0.09
Brahim Díaz,Milan,Serie A,MF,MF,23,11.5,1.48,0.17,0.0,1.48,0.17
João Moutinho,Wolves,Premier League,MF,MF,36,15.5,1.48,0.13,0.0,1.48,0.13
Neco Williams,Nott'ham Forest,Premier League,DF,DF,21,13.5,1.48,0.3,0.0,1.48,0.3
Eduardo Camavinga,Real Madrid,La Liga,MFDF,MF,20,10.2,1.47,0.29,0.0,1.47,0.29
Bryan Cristante,Roma,Serie A,MF,MF,27,20.4,1.47,0.2,0.0,1.47,0.2
Alfonso Espino,Cádiz,La Liga,DF,DF,31,19.7,1.47,0.25,0.0,1.47,0.25
Olivier Giroud,Milan,Serie A,FW,FW,36,15.0,1.47,0.4,0.07,1.47,0.54
Anthony Losilla,Bochum,Bundesliga,MF,MF,36,19.7,1.47,0.15,0.0,1.47,0.15
John McGinn,Aston Villa,Premier League,MF,MF,28,13.6,1.47,0.29,0.0,1.47,0.29
Jon Moncayola,Osasuna,La Liga,MFFW,MF,24,13.6,1.47,0.22,0.0,1.47,0.22
Nemanja Radonji?,Torino,Serie A,MFFW,MF,26,10.2,1.47,0.1,0.0,1.47,0.1
Edin D?eko,Inter,Serie A,FW,FW,36,14.4,1.46,0.21,0.0,1.46,0.21
Armando Izzo,Monza,Serie A,DF,DF,30,12.3,1.46,0.24,0.0,1.46,0.24
Yohann Magnin,Clermont Foot,Ligue 1,MFDF,MF,25,18.5,1.46,0.27,0.0,1.46,0.27
Loïs Openda,Lens,Ligue 1,FW,FW,22,15.1,1.46,0.07,0.0,1.46,0.07
Kenny Tete,Fulham,Premier League,DF,DF,27,15.7,1.46,0.38,0.0,1.46,0.38
Michail Antonio,West Ham,Premier League,FW,FW,32,11.7,1.45,0.09,0.0,1.45,0.09
Filip Kosti?,Juventus,Serie A,DFFW,DF,30,16.5,1.45,0.06,0.0,1.45,0.06
Kalidou Koulibaly,Chelsea,Premier League,DF,DF,31,12.4,1.45,0.4,0.08,1.45,0.56
Lucas Robertone,Almería,La Liga,MF,MF,25,16.5,1.45,0.3,0.0,1.45,0.3
Kevin Stöger,Bochum,Bundesliga,MF,MF,29,17.2,1.45,0.06,0.0,1.45,0.06
Rodrigo Bentancur,Tottenham,Premier League,MF,MF,25,16.7,1.44,0.48,0.0,1.44,0.48
Alexis Blin,Lecce,Serie A,MFDF,MF,26,13.9,1.44,0.14,0.0,1.44,0.14
Fabinho,Liverpool,Premier League,MF,MF,29,13.9,1.44,0.14,0.0,1.44,0.14
Janik Haberer,Union Berlin,Bundesliga,MF,MF,28,13.9,1.44,0.0,0.0,1.44,0.0
Takefusa Kubo,Real Sociedad,La Liga,FWMF,FW,21,13.9,1.44,0.14,0.0,1.44,0.14
Faitout Maouassa,Montpellier,Ligue 1,DFFW,DF,24,13.2,1.44,0.0,0.0,1.44,0.0
Lassine Sinayoko,Auxerre,Ligue 1,MFFW,MF,23,13.2,1.44,0.15,0.08,1.44,0.31
Yuri Berchiche,Athletic Club,La Liga,DF,DF,33,10.5,1.43,0.57,0.1,1.43,0.77
Brendan Chardonnet,Brest,Ligue 1,DF,DF,28,17.5,1.43,0.29,0.0,1.43,0.29
Pervis Estupiñán,Brighton,Premier League,DF,DF,25,14.0,1.43,0.21,0.0,1.43,0.21
Jordan Ferri,Montpellier,Ligue 1,MF,MF,30,16.8,1.43,0.24,0.0,1.43,0.24
Benjamin Henrichs,RB Leipzig,Bundesliga,DFMF,DF,25,14.7,1.43,0.41,0.0,1.43,0.41
Luka Jovi?,Fiorentina,Serie A,FWMF,FW,25,11.2,1.43,0.18,0.0,1.43,0.18
Danilo Soares,Bochum,Bundesliga,DF,DF,31,12.6,1.43,0.32,0.0,1.43,0.32
Jonathan Bamba,Lille,Ligue 1,FW,FW,26,16.2,1.42,0.19,0.0,1.42,0.19
Cyrille Bayala,Ajaccio,Ligue 1,MF,MF,26,14.1,1.42,0.21,0.0,1.42,0.21
Leon Goretzka,Bayern Munich,Bundesliga,MF,MF,28,11.3,1.42,0.27,0.0,1.42,0.27
Bruno Guimarães,Newcastle Utd,Premier League,MF,MF,25,15.5,1.42,0.19,0.0,1.42,0.19
Jack Harrison,Leeds United,Premier League,FWMF,FW,26,14.8,1.42,0.14,0.0,1.42,0.14
Emil Holm,Spezia,Serie A,DF,DF,22,15.5,1.42,0.26,0.0,1.42,0.26
Christoph Kramer,M'Gladbach,Bundesliga,MF,MF,31,16.2,1.42,0.19,0.0,1.42,0.19
Marcos Llorente,Atlético Madrid,La Liga,MFDF,MF,28,11.3,1.42,0.09,0.0,1.42,0.09
Ivan unji?,Hertha BSC,Bundesliga,MF,MF,26,10.6,1.42,0.38,0.0,1.42,0.38
Danny Welbeck,Brighton,Premier League,FW,FW,32,12.7,1.42,0.0,0.0,1.42,0.0
Thiago Alcántara,Liverpool,Premier League,MF,MF,31,12.8,1.41,0.16,0.0,1.41,0.16
Davide Frattesi,Sassuolo,Serie A,MF,MF,23,19.2,1.41,0.16,0.0,1.41,0.16
Stefan Savi?,Atlético Madrid,La Liga,DF,DF,32,12.8,1.41,0.16,0.08,1.41,0.32
Alexander Sørloth,Real Sociedad,La Liga,FW,FW,27,14.2,1.41,0.14,0.0,1.41,0.14
Dominik Kohr,Mainz 05,Bundesliga,MF,MF,29,15.7,1.4,0.32,0.0,1.4,0.32
Geoffrey Kondogbia,Atlético Madrid,La Liga,MF,MF,29,10.7,1.4,0.37,0.0,1.4,0.37
Eric Martel,Köln,Bundesliga,MF,MF,20,11.4,1.4,0.18,0.0,1.4,0.18
Óscar Mingueza,Celta Vigo,La Liga,DF,DF,23,10.7,1.4,0.19,0.0,1.4,0.19
Mason Mount,Chelsea,Premier League,MFFW,MF,24,17.1,1.4,0.18,0.0,1.4,0.18
Christian Nørgaard,Brentford,Premier League,MF,MF,28,10.7,1.4,0.09,0.0,1.4,0.09
Oihan Sancet,Athletic Club,La Liga,MF,MF,22,15.7,1.4,0.13,0.0,1.4,0.13
Joe Willock,Newcastle Utd,Premier League,MF,MF,23,17.8,1.4,0.06,0.0,1.4,0.06
Flavius Daniliuc,Salernitana,Serie A,DF,DF,21,11.5,1.39,0.35,0.0,1.39,0.35
Thilo Kehrer,West Ham,Premier League,DF,DF,26,16.5,1.39,0.24,0.0,1.39,0.24
Maxime Le Marchand,Strasbourg,Ligue 1,DF,DF,33,14.4,1.39,0.35,0.07,1.39,0.49
Dodi Lukebakio,Hertha BSC,Bundesliga,FWMF,FW,25,16.5,1.39,0.36,0.0,1.39,0.36
Julian Ryerson,Union Berlin,Bundesliga,DF,DF,25,11.5,1.39,0.17,0.0,1.39,0.17
Flavien Tait,Rennes,Ligue 1,MF,MF,30,15.1,1.39,0.13,0.0,1.39,0.13
Leonardo Balerdi,Marseille,Ligue 1,DF,DF,24,19.6,1.38,0.2,0.0,1.38,0.2
Harvey Barnes,Leicester City,Premier League,MFFW,MF,25,18.8,1.38,0.05,0.0,1.38,0.05
Sandi Lovri?,Udinese,Serie A,MF,MF,24,11.6,1.38,0.17,0.0,1.38,0.17
Alassane Pléa,M'Gladbach,Bundesliga,FW,FW,29,11.6,1.38,0.26,0.0,1.38,0.26
Diego Rico,Real Sociedad,La Liga,DF,DF,29,11.6,1.38,0.17,0.0,1.38,0.17
Pablo Rosario,Nice,Ligue 1,MFDF,MF,26,10.9,1.38,0.46,0.0,1.38,0.46
Javi Sánchez,Valladolid,La Liga,DF,DF,25,15.9,1.38,0.44,0.0,1.38,0.44
Dominic Solanke,Bournemouth,Premier League,FWMF,FW,25,15.9,1.38,0.06,0.0,1.38,0.06
Marco Verratti,Paris S-G,Ligue 1,MF,MF,30,13.8,1.38,0.51,0.07,1.38,0.65
Leon Bailey,Aston Villa,Premier League,FWMF,FW,25,14.6,1.37,0.27,0.0,1.37,0.27
Dylan Bronn,Salernitana,Serie A,DF,DF,27,13.9,1.37,0.07,0.0,1.37,0.07
Franco Cervi,Celta Vigo,La Liga,MF,MF,28,14.6,1.37,0.0,0.07,1.37,0.14
Cheick Doucouré,Crystal Palace,Premier League,MF,MF,23,18.3,1.37,0.38,0.0,1.37,0.38
Mama Samba Baldé,Troyes,Ligue 1,FW,FW,27,17.5,1.37,0.17,0.06,1.37,0.29
Joe Worrall,Nott'ham Forest,Premier League,DF,DF,26,13.9,1.37,0.36,0.0,1.37,0.36
Marko Arnautovi?,Bologna,Serie A,FW,FW,33,13.2,1.36,0.3,0.0,1.36,0.3
Samuel,Valencia,La Liga,FWMF,FW,23,19.8,1.36,0.15,0.0,1.36,0.15
Xaver Schlager,RB Leipzig,Bundesliga,MF,MF,25,14.0,1.36,0.14,0.0,1.36,0.14
Niklas Stark,Werder Bremen,Bundesliga,DF,DF,27,11.8,1.36,0.34,0.0,1.36,0.34
Mehdi Bourabia,Spezia,Serie A,MF,MF,31,18.5,1.35,0.16,0.0,1.35,0.16
Emmanuel Gyasi,Spezia,Serie A,FWDF,FW,29,17.1,1.35,0.29,0.0,1.35,0.29
André Silva,RB Leipzig,Bundesliga,FW,FW,27,13.3,1.35,0.08,0.0,1.35,0.08
Daniel Vivian,Athletic Club,La Liga,DF,DF,23,14.1,1.35,0.21,0.0,1.35,0.21
Eray Cömert,Valencia,La Liga,DF,DF,25,14.9,1.34,0.27,0.07,1.34,0.41
Bafodé Diakité,Lille,Ligue 1,DF,DF,22,19.4,1.34,0.21,0.0,1.34,0.21
Souleyman Doumbia,Angers,Ligue 1,DFFW,DF,26,16.4,1.34,0.12,0.06,1.34,0.24
Marten de Roon,Atalanta,Serie A,MF,MF,31,17.9,1.34,0.28,0.0,1.34,0.28
Pascal Struijk,Leeds United,Premier League,DF,DF,23,18.6,1.34,0.22,0.0,1.34,0.22
Marcus Thuram,M'Gladbach,Bundesliga,FW,FW,25,17.9,1.34,0.11,0.0,1.34,0.11
Tuta,Eint Frankfurt,Bundesliga,DF,DF,23,17.9,1.34,0.22,0.0,1.34,0.22
Andrea Cambiaso,Bologna,Serie A,DF,DF,22,12.8,1.33,0.16,0.0,1.33,0.16
Roger Ibanez,Roma,Serie A,DF,DF,24,21.0,1.33,0.29,0.0,1.33,0.29
Elba Rashani,Clermont Foot,Ligue 1,MFDF,MF,29,14.3,1.33,0.07,0.0,1.33,0.07
Birama Touré,Auxerre,Ligue 1,MF,MF,30,21.8,1.33,0.05,0.0,1.33,0.05
Samuel Umtiti,Lecce,Serie A,DF,DF,29,10.5,1.33,0.38,0.0,1.33,0.38
Yunis Abdelhamid,Reims,Ligue 1,DF,DF,35,22.0,1.32,0.09,0.0,1.32,0.09
Fares Chaïbi,Toulouse,Ligue 1,FWMF,FW,20,15.2,1.32,0.13,0.0,1.32,0.13
Idrissa Gana Gueye,Everton,Premier League,MF,MF,33,13.6,1.32,0.22,0.0,1.32,0.22
Timo Hübers,Köln,Bundesliga,DF,DF,26,14.4,1.32,0.28,0.0,1.32,0.28
Teun Koopmeiners,Atalanta,Serie A,MF,MF,24,20.4,1.32,0.25,0.0,1.32,0.25
Luis Milla,Getafe,La Liga,MF,MF,28,12.9,1.32,0.23,0.08,1.32,0.39
Obite N'Dicka,Eint Frankfurt,Bundesliga,DF,DF,23,18.9,1.32,0.16,0.0,1.32,0.16
Andreas Pereira,Fulham,Premier League,MF,MF,27,21.2,1.32,0.28,0.0,1.32,0.28
Stefan Posch,Bologna,Serie A,DF,DF,25,13.6,1.32,0.07,0.0,1.32,0.07
Nicolás Tagliafico,Lyon,Ligue 1,DF,DF,30,19.7,1.32,0.2,0.0,1.32,0.2
Tammy Abraham,Roma,Serie A,FW,FW,25,17.6,1.31,0.06,0.0,1.31,0.06
Fabio Depaoli,Hellas Verona,Serie A,DF,DF,25,13.0,1.31,0.23,0.0,1.31,0.23
Aleksandr Golovin,Monaco,Ligue 1,MFFW,MF,26,17.5,1.31,0.17,0.0,1.31,0.17
Achraf Hakimi,Paris S-G,Ligue 1,DFMF,DF,24,16.8,1.31,0.3,0.0,1.31,0.3
Jonjoe Kenny,Hertha BSC,Bundesliga,DF,DF,25,17.5,1.31,0.06,0.0,1.31,0.06
Brian Oliván,Espanyol,La Liga,DF,DF,28,18.3,1.31,0.27,0.0,1.31,0.27
Mattia Caldara,Spezia,Serie A,DF,DF,28,10.8,1.3,0.46,0.0,1.3,0.46
Piero Hincapié,Leverkusen,Bundesliga,DF,DF,21,16.2,1.3,0.49,0.12,1.3,0.73
Martinelli,Arsenal,Premier League,FW,FW,21,19.2,1.3,0.1,0.0,1.3,0.1
Salih Özcan,Dortmund,Bundesliga,MF,MF,25,13.1,1.3,0.38,0.0,1.3,0.38
Ellyes Skhiri,Köln,Bundesliga,MF,MF,27,17.7,1.3,0.17,0.0,1.3,0.17
Rodrigo Becão,Udinese,Serie A,DF,DF,27,14.7,1.29,0.41,0.0,1.29,0.41
Djené,Getafe,La Liga,DF,DF,31,17.1,1.29,0.29,0.0,1.29,0.29
Maximilian Eggestein,Freiburg,Bundesliga,MF,MF,26,15.5,1.29,0.26,0.0,1.29,0.26
Bruno Fernandes,Manchester Utd,Premier League,MFFW,MF,28,21.0,1.29,0.24,0.0,1.29,0.24
Florian Niederlechner,Augsburg,Bundesliga,FWMF,FW,32,10.1,1.29,0.1,0.0,1.29,0.1
Suat Serdar,Hertha BSC,Bundesliga,MF,MF,25,14.0,1.29,0.29,0.0,1.29,0.29
Arkadiusz Reca,Spezia,Serie A,DF,DF,27,14.9,1.28,0.2,0.0,1.28,0.2
Guido Rodríguez,Betis,La Liga,MF,MF,28,16.4,1.28,0.24,0.0,1.28,0.24
Alidu Seidu,Clermont Foot,Ligue 1,DF,DF,22,19.5,1.28,0.31,0.0,1.28,0.31
Joris Chotard,Montpellier,Ligue 1,MF,MF,21,14.2,1.27,0.21,0.0,1.27,0.21
Juan Cuadrado,Juventus,Serie A,DFFW,DF,34,11.8,1.27,0.25,0.08,1.27,0.41
Moussa Diarra,Toulouse,Ligue 1,DF,DF,22,11.0,1.27,0.0,0.0,1.27,0.0
Álvaro García,Rayo Vallecano,La Liga,FWMF,FW,30,16.5,1.27,0.18,0.0,1.27,0.18
Jonathan Gradit,Lens,Ligue 1,DF,DF,30,15.7,1.27,0.25,0.0,1.27,0.25
Facundo Medina,Lens,Ligue 1,DF,DF,23,18.9,1.27,0.26,0.0,1.27,0.26
Rasmus Nissen,Leeds United,Premier League,DF,DF,25,12.6,1.27,0.32,0.0,1.27,0.32
Ivan Perii?,Tottenham,Premier League,DFMF,DF,34,15.8,1.27,0.19,0.0,1.27,0.19
Edu Expósito,Espanyol,La Liga,MF,MF,26,10.3,1.26,0.19,0.0,1.26,0.19
Przemys?aw Frankowski,Lens,Ligue 1,DFMF,DF,27,17.5,1.26,0.06,0.0,1.26,0.06
Oumar Gonzalez,Ajaccio,Ligue 1,DF,DF,24,17.5,1.26,0.4,0.0,1.26,0.4
Amine Gouiri,Rennes,Ligue 1,FW,FW,22,15.1,1.26,0.07,0.0,1.26,0.07
Atakan Karazor,Stuttgart,Bundesliga,MF,MF,26,10.3,1.26,0.68,0.0,1.26,0.68
Tom Krauß,Schalke 04,Bundesliga,MF,MF,21,18.2,1.26,0.16,0.0,1.26,0.16
Dany Mota,Monza,Serie A,FWMF,FW,24,11.1,1.26,0.09,0.0,1.26,0.09
Corentin Tolisso,Lyon,Ligue 1,MF,MF,28,10.3,1.26,0.1,0.0,1.26,0.1
Mitchell Weiser,Werder Bremen,Bundesliga,DFFW,DF,28,18.2,1.26,0.27,0.0,1.26,0.27
Simon Zoller,Bochum,Bundesliga,FW,FW,31,13.5,1.26,0.22,0.0,1.26,0.22
Éderson,Atalanta,Serie A,MFFW,MF,23,12.0,1.25,0.17,0.0,1.25,0.17
Henrikh Mkhitaryan,Inter,Serie A,MF,MF,34,12.8,1.25,0.23,0.0,1.25,0.23
Nordi Mukiele,Paris S-G,Ligue 1,DF,DF,25,11.2,1.25,0.0,0.0,1.25,0.0
Rayan Raveloson,Auxerre,Ligue 1,MFDF,MF,26,11.2,1.25,0.0,0.0,1.25,0.0
Jordan Veretout,Marseille,Ligue 1,MF,MF,29,16.8,1.25,0.12,0.0,1.25,0.12
Joel Ward,Crystal Palace,Premier League,DF,DF,33,14.4,1.25,0.28,0.0,1.25,0.28
Sergio Busquets,Barcelona,La Liga,MF,MF,34,14.5,1.24,0.41,0.07,1.24,0.55
Edinson Cavani,Valencia,La Liga,FW,FW,35,10.5,1.24,0.38,0.0,1.24,0.38
Niko Gießelmann,Union Berlin,Bundesliga,DF,DF,31,10.5,1.24,0.29,0.0,1.24,0.29
Julian Weigl,M'Gladbach,Bundesliga,MF,MF,27,13.7,1.24,0.36,0.0,1.24,0.36
Luca Caldirola,Monza,Serie A,DF,DF,32,14.6,1.23,0.21,0.0,1.23,0.21
Kevin Danso,Lens,Ligue 1,DF,DF,24,22.0,1.23,0.23,0.0,1.23,0.23
Habib Diallo,Strasbourg,Ligue 1,FW,FW,27,17.1,1.23,0.12,0.0,1.23,0.12
Hans Hateboer,Atalanta,Serie A,DF,DF,29,15.5,1.23,0.45,0.0,1.23,0.45
Jonathan Ikone,Fiorentina,Serie A,FW,FW,24,13.0,1.23,0.15,0.0,1.23,0.15
Wilfried Kanga,Hertha BSC,Bundesliga,FW,FW,24,13.0,1.23,0.15,0.0,1.23,0.15
Robin Koch,Leeds United,Premier League,DF,DF,26,19.5,1.23,0.26,0.0,1.23,0.26
Renan Lodi,Nott'ham Forest,Premier League,DF,DF,24,12.2,1.23,0.16,0.0,1.23,0.16
Ivan Ordets,Bochum,Bundesliga,DF,DF,30,15.5,1.23,0.19,0.0,1.23,0.19
Marc Roca,Leeds United,Premier League,MF,MF,26,16.2,1.23,0.25,0.0,1.23,0.25
Benno Schmitz,Köln,Bundesliga,DF,DF,28,15.5,1.23,0.13,0.0,1.23,0.13
Romain Perraud,Southampton,Premier League,DF,DF,25,13.1,1.22,0.15,0.0,1.22,0.15
David Raum,RB Leipzig,Bundesliga,DFFW,DF,24,13.1,1.22,0.15,0.0,1.22,0.15
Unai García,Osasuna,La Liga,DF,DF,31,14.1,1.21,0.43,0.07,1.21,0.57
Jack Grealish,Manchester City,Premier League,FW,FW,27,11.6,1.21,0.09,0.0,1.21,0.09
Enzo Le Fée,Lorient,Ligue 1,MF,MF,23,21.4,1.21,0.14,0.0,1.21,0.14
Castello Lukeba,Lyon,Ligue 1,DF,DF,20,18.2,1.21,0.16,0.0,1.21,0.16
James Maddison,Leicester City,Premier League,MFFW,MF,26,14.1,1.21,0.43,0.0,1.21,0.43
Rodrigo Riquelme,Girona,La Liga,MFFW,MF,22,14.1,1.21,0.0,0.0,1.21,0.0
Nuno Tavares,Marseille,Ligue 1,DFMF,DF,23,16.5,1.21,0.24,0.06,1.21,0.36
Federico Bonazzoli,Salernitana,Serie A,FW,FW,25,10.0,1.2,0.1,0.0,1.2,0.1
Cédric Brunner,Schalke 04,Bundesliga,DF,DF,28,15.8,1.2,0.13,0.0,1.2,0.13
William Carvalho,Betis,La Liga,MF,MF,30,15.0,1.2,0.27,0.07,1.2,0.41
Yannick Gerhardt,Wolfsburg,Bundesliga,MF,MF,28,10.8,1.2,0.19,0.0,1.2,0.19
Vincent Marchetti,Ajaccio,Ligue 1,MF,MF,25,18.4,1.2,0.22,0.0,1.2,0.22
Isaac Palazón Camacho,Rayo Vallecano,La Liga,FWMF,FW,28,16.7,1.2,0.18,0.0,1.2,0.18
Antonio Raillo,Mallorca,La Liga,DF,DF,31,20.0,1.2,0.3,0.0,1.2,0.3
Robert Skov,Hoffenheim,Bundesliga,DF,DF,26,11.7,1.2,0.09,0.0,1.2,0.09
Callum Wilson,Newcastle Utd,Premier League,FW,FW,30,12.5,1.2,0.24,0.0,1.2,0.24
Ben Davies,Tottenham,Premier League,DF,DF,29,16.0,1.19,0.13,0.0,1.19,0.13
Dejan Kulusevski,Tottenham,Premier League,MFFW,MF,22,12.6,1.19,0.0,0.0,1.19,0.0
