Player,Squad,Comp,Pos,primary_pos,Age,nineties,Fls,CrdY,CrdR,fouls_per90,card_rate_per90
Jesús Navas,Sevilla,La Liga,DFFW,DF,37,11.9,0.34,0.25,0.0,0.34,0.25
Andrej Kramari?,Hoffenheim,Bundesliga,MFFW,MF,31,15.2,0.33,0.07,0.0,0.33,0.07
Raphaël Guerreiro,Dortmund,Bundesliga,DF,DF,29,15.4,0.32,0.19,0.0,0.32,0.19
Ferland Mendy,Real Madrid,La Liga,DF,DF,27,12.5,0.32,0.16,0.0,0.32,0.16
Julian Brandt,Dortmund,Bundesliga,MFFW,MF,26,16.6,0.3,0.06,0.0,0.3,0.06
Ethan Pinnock,Brentford,Premier League,DF,DF,29,14.0,0.29,0.0,0.0,0.29,0.0
Antonio Rüdiger,Real Madrid,La Liga,DF,DF,29,13.6,0.29,0.07,0.0,0.29,0.07
Mathieu Coutadeur,Ajaccio,Ligue 1,MF,MF,36,10.9,0.28,0.0,0.0,0.28,0.0
Jeremy Toljan,Sassuolo,Serie A,DF,DF,28,18.7,0.27,0.11,0.0,0.27,0.11
Alphonso Davies,Bayern Munich,Bundesliga,DF,DF,22,15.5,0.26,0.0,0.0,0.26,0.0
Álex Fernández,Cádiz,La Liga,MFFW,MF,30,13.6,0.22,0.0,0.0,0.22,0.0
Vincenzo Grifo,Freiburg,Bundesliga,FWMF,FW,29,14.3,0.21,0.07,0.0,0.21,0.07
Thierno Balde,Troyes,Ligue 1,DF,DF,20,14.7,0.2,0.07,0.0,0.2,0.07
Théo Le Bris,Lorient,Ligue 1,MFDF,MF,20,10.6,0.19,0.0,0.0,0.19,0.0
Mads Roerslev,Brentford,Premier League,DF,DF,23,10.4,0.19,0.0,0.0,0.19,0.0
Antonio Candreva,Salernitana,Serie A,DFMF,DF,35,17.9,0.17,0.17,0.06,0.17,0.29
Lionel Messi,Paris S-G,Ligue 1,MFFW,MF,35,17.5,0.17,0.0,0.0,0.17,0.0
Oleksandr Zinchenko,Arsenal,Premier League,DF,DF,26,12.0,0.17,0.17,0.0,0.17,0.17
Marvin Friedrich,M'Gladbach,Bundesliga,DF,DF,27,10.7,0.09,0.09,0.0,0.09,0.09
Marvin Ducksch,Werder Bremen,Bundesliga,FW,FW,28,18.5,0.0,0.05,0.0,0.0,0.05
